"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
52,"Female","CA",3,4,4,4,5,1,2,4,5,4,4,4,4,4,4,0.73,0.67,0.73,0.8,0.8
30,"Female","US",3,4,5,3,3,2,5,5,5,4,5,3,3,4,4,0.8,0.53,1,0.8,0.73
57,"Female","US",5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,0.73,1,1,0.73,1
26,"Female","US",3,4,5,3,4,3,4,5,4,4,4,5,3,3,3,0.8,0.67,0.87,0.87,0.6
27,"Male","IN",1,4,2,3,4,3,4,5,4,3,3,3,4,5,4,0.47,0.67,0.87,0.6,0.87
21,"Female","AU",4,4,4,4,4,4,4,5,3,4,4,3,4,4,4,0.8,0.8,0.8,0.73,0.8
27,"Male","GB",1,1,2,4,4,4,4,4,2,2,4,3,4,4,4,0.27,0.8,0.67,0.6,0.8
25,"Male","SG",3,5,4,2,2,2,5,4,5,2,4,4,4,5,3,0.8,0.4,0.93,0.67,0.8
35,"Male","ES",5,5,5,1,5,1,4,5,5,5,5,5,5,5,5,1,0.47,0.93,1,1
59,"Male","US",3,5,4,3,2,1,5,5,5,5,5,5,4,5,5,0.8,0.4,1,1,0.93
39,"Male","US",4,3,4,2,4,3,4,2,5,4,4,4,3,4,4,0.73,0.6,0.73,0.8,0.73
27,"Female","PK",3,5,4,3,3,2,3,4,3,3,4,3,3,4,4,0.8,0.53,0.67,0.67,0.73
20,"Male","GB",3,2,3,5,5,4,2,2,1,2,4,2,5,4,5,0.53,0.93,0.33,0.53,0.93
60,"Female","US",4,5,5,3,1,1,5,5,4,4,1,2,5,5,5,0.93,0.33,0.93,0.47,1
50,"Female","GB",4,5,5,3,4,1,5,5,5,3,4,5,5,3,5,0.93,0.53,1,0.8,0.87
22,"Female","US",4,2,3,3,4,5,2,5,5,4,5,4,4,4,3,0.6,0.8,0.8,0.87,0.73
37,"Male","US",2,3,1,3,4,1,4,5,3,4,4,3,5,5,5,0.4,0.53,0.8,0.73,1
18,"Female","US",2,3,3,3,4,2,4,4,3,3,5,4,4,4,4,0.53,0.6,0.73,0.8,0.8
16,"Female","AE",2,3,3,3,4,4,3,4,4,3,4,2,3,4,4,0.53,0.73,0.73,0.6,0.73
22,"Female","IN",4,3,2,5,5,4,3,5,5,1,4,2,5,5,5,0.6,0.93,0.87,0.47,1
17,"Female","US",3,4,5,5,5,5,5,4,3,3,3,3,5,3,5,0.8,1,0.8,0.6,0.87
22,"Male","IN",1,3,5,1,5,4,3,5,5,5,5,5,4,5,5,0.6,0.67,0.87,1,0.93
22,"Male","PK",1,5,5,5,5,5,5,2,4,5,5,4,2,5,5,0.73,1,0.73,0.93,0.8
20,"Male","US",3,4,3,3,5,1,5,4,4,4,4,3,5,5,3,0.67,0.6,0.87,0.73,0.87
15,"Male","US",1,1,1,1,1,1,5,1,5,5,5,1,4,5,5,0.2,0.2,0.73,0.73,0.93
25,"Female","SE",1,1,2,2,4,1,2,3,5,3,4,2,5,5,2,0.27,0.47,0.67,0.6,0.8
22,"Female","DK",4,4,5,2,4,2,4,2,4,3,4,4,4,4,3,0.87,0.53,0.67,0.73,0.73
16,"Male","US",4,5,4,5,5,5,5,4,4,2,4,2,3,5,5,0.87,1,0.87,0.53,0.87
23,"Male","IN",2,3,4,2,5,5,3,3,3,1,4,2,3,2,1,0.6,0.8,0.6,0.47,0.4
27,"Female","US",3,2,2,4,4,4,4,5,4,2,1,2,4,1,2,0.47,0.8,0.87,0.33,0.47
41,"Female","US",3,3,3,4,5,3,4,3,4,3,5,2,3,4,4,0.6,0.8,0.73,0.67,0.73
23,"Female","US",5,5,5,3,5,3,5,5,5,5,5,3,5,5,5,1,0.73,1,0.87,1
33,"Female","IN",2,3,5,5,5,5,3,5,3,3,5,3,4,4,5,0.67,1,0.73,0.73,0.87
51,"Male","US",2,5,3,2,3,3,5,4,3,3,3,3,5,4,4,0.67,0.53,0.8,0.6,0.87
24,"Female","US",5,5,5,2,3,2,5,5,4,3,4,3,4,4,3,1,0.47,0.93,0.67,0.73
24,"Female","NL",3,4,1,3,4,1,4,3,5,4,4,3,5,4,4,0.53,0.53,0.8,0.73,0.87
24,"Male","PK",1,1,1,1,4,5,3,5,4,3,4,5,3,5,3,0.2,0.67,0.8,0.8,0.73
20,"Male","HK",2,4,5,1,2,1,4,4,5,3,4,1,4,5,4,0.73,0.27,0.87,0.53,0.87
19,"Female","US",3,4,4,3,3,2,5,1,4,3,5,4,5,5,5,0.73,0.53,0.67,0.8,1
30,"Male","US",1,1,1,3,5,3,2,5,3,3,5,1,5,5,5,0.2,0.73,0.67,0.6,1
34,"Male","US",3,2,1,3,5,1,4,5,5,4,4,4,5,5,5,0.4,0.6,0.93,0.8,1
20,"Male","MX",3,4,4,2,4,1,5,4,4,4,4,4,2,5,4,0.73,0.47,0.87,0.8,0.73
16,"Female","GB",1,2,2,5,4,3,4,4,2,5,3,5,5,5,5,0.33,0.8,0.67,0.87,1
22,"Male","IN",3,5,4,5,5,5,5,5,4,4,5,4,5,4,5,0.8,1,0.93,0.87,0.93
27,"Male","NZ",4,3,2,3,3,3,5,4,4,4,2,2,4,2,4,0.6,0.6,0.87,0.53,0.67
51,"Female","US",2,4,4,3,3,1,5,5,4,4,5,3,5,5,3,0.67,0.47,0.93,0.8,0.87
18,"Male","GB",3,3,3,4,4,1,3,5,3,5,5,3,5,5,4,0.6,0.6,0.73,0.87,0.93
19,"Male","US",1,2,5,5,5,5,2,4,4,1,1,1,5,3,5,0.53,1,0.67,0.2,0.87
14,"Male","US",4,3,4,3,3,2,4,4,3,3,3,1,3,3,5,0.73,0.53,0.73,0.47,0.73
43,"Female","GB",1,2,3,5,5,5,3,3,1,3,5,1,5,3,5,0.4,1,0.47,0.6,0.87
25,"Male","US",1,2,3,1,2,1,2,4,3,5,4,4,2,4,3,0.4,0.27,0.6,0.87,0.6
18,"Female","US",2,2,2,4,5,4,2,3,2,4,4,3,4,4,4,0.4,0.87,0.47,0.73,0.8
31,"Male","US",4,5,4,4,5,4,3,2,3,3,5,3,5,5,3,0.87,0.87,0.53,0.73,0.87
27,"Female","US",4,4,3,2,3,2,5,4,5,3,4,4,4,3,3,0.73,0.47,0.93,0.73,0.67
20,"Female","US",4,4,4,4,2,3,5,5,4,3,3,3,4,3,3,0.8,0.6,0.93,0.6,0.67
40,"Female","US",3,4,5,2,5,2,5,5,5,2,4,2,5,4,5,0.8,0.6,1,0.53,0.93
20,"Female","ZA",2,4,4,4,5,4,5,5,4,3,3,2,4,5,3,0.67,0.87,0.93,0.53,0.8
16,"Male","GB",3,3,3,2,3,5,4,4,3,1,3,2,5,4,5,0.6,0.67,0.73,0.4,0.93
19,"Male","IN",4,1,4,5,2,5,4,4,5,4,2,1,5,5,5,0.6,0.8,0.87,0.47,1
24,"Male","BR",3,4,4,3,4,3,4,4,3,1,4,2,5,4,4,0.73,0.67,0.73,0.47,0.87
44,"Male","AT",1,4,5,2,4,2,4,4,5,2,5,4,5,5,5,0.67,0.53,0.87,0.73,1
23,"Female","GB",4,4,4,2,4,4,4,5,4,2,2,3,5,4,4,0.8,0.67,0.87,0.47,0.87
40,"Male","US",2,4,2,2,2,3,3,3,3,4,4,4,2,3,3,0.53,0.47,0.6,0.8,0.53
32,"Male","GB",3,2,5,3,4,3,5,5,5,4,5,5,5,3,5,0.67,0.67,1,0.93,0.87
40,"Female","US",2,4,4,2,4,2,5,5,5,3,5,1,2,5,5,0.67,0.53,1,0.6,0.8
58,"Female","GB",3,4,5,3,5,5,1,2,3,5,5,5,5,5,3,0.8,0.87,0.4,1,0.87
24,"Male","US",4,4,5,5,5,3,5,4,4,3,5,4,4,5,3,0.87,0.87,0.87,0.8,0.8
24,"Female","GB",2,3,3,3,5,4,4,4,3,4,5,3,5,5,2,0.53,0.8,0.73,0.8,0.8
21,"Female","US",2,3,3,4,4,2,4,5,4,4,5,5,5,4,3,0.53,0.67,0.87,0.93,0.8
18,"Male","GB",3,2,4,3,3,1,2,2,2,4,5,5,4,5,5,0.6,0.47,0.4,0.93,0.93
35,"Female","US",1,1,1,2,2,1,1,2,2,4,4,4,5,5,4,0.2,0.33,0.33,0.8,0.93
22,"Female","GB",3,5,5,5,5,1,3,5,5,3,5,4,4,4,3,0.87,0.73,0.87,0.8,0.73
18,"Female","US",2,2,3,3,4,2,4,2,2,4,2,4,4,4,4,0.47,0.6,0.53,0.67,0.8
26,"Male","US",4,5,5,5,5,4,5,4,4,4,5,4,5,2,4,0.93,0.93,0.87,0.87,0.73
27,"Male","CA",3,4,4,3,3,2,5,4,4,3,3,3,3,4,3,0.73,0.53,0.87,0.6,0.67
30,"Female","US",3,3,3,4,3,3,4,5,4,3,1,3,3,5,3,0.6,0.67,0.87,0.47,0.73
20,"Female","US",3,4,4,4,4,3,5,5,4,3,4,2,5,3,4,0.73,0.73,0.93,0.6,0.8
21,"Female","DE",1,1,2,3,4,1,5,3,2,5,5,4,5,5,5,0.27,0.53,0.67,0.93,1
20,"Female","US",2,3,3,3,5,2,4,5,3,2,4,4,4,5,5,0.53,0.67,0.8,0.67,0.93
37,"Male","GB",2,4,4,2,4,4,4,3,2,3,3,3,4,4,3,0.67,0.67,0.6,0.6,0.73
56,"Female","US",2,4,1,3,3,2,5,4,4,3,4,3,5,3,4,0.47,0.53,0.87,0.67,0.8
22,"Female","US",4,5,5,5,4,2,4,5,5,2,5,5,3,4,4,0.93,0.73,0.93,0.8,0.73
20,"Male","GB",3,3,3,4,3,1,3,4,3,1,2,5,5,4,5,0.6,0.53,0.67,0.53,0.93
43,"Female","GB",4,5,5,2,4,3,4,5,3,3,5,4,5,5,5,0.93,0.6,0.8,0.8,1
31,"Male","CR",2,3,3,2,4,2,4,5,4,3,3,1,4,2,4,0.53,0.53,0.87,0.47,0.67
43,"Male","GB",1,5,5,5,5,5,5,5,5,3,5,3,5,4,5,0.73,1,1,0.73,0.93
31,"Female","US",3,3,4,3,5,3,4,5,5,4,5,4,3,5,4,0.67,0.73,0.93,0.87,0.8
39,"Male","SK",2,2,2,3,4,4,2,4,1,3,3,3,3,5,5,0.4,0.73,0.47,0.6,0.87
24,"Male","GB",1,5,4,1,4,1,4,3,4,3,5,2,5,5,5,0.67,0.4,0.73,0.67,1
18,"Male","PK",1,5,5,1,5,1,4,1,5,5,5,1,1,5,5,0.73,0.47,0.67,0.73,0.73
45,"Female","US",1,4,4,4,4,3,5,4,4,3,4,2,4,4,4,0.6,0.73,0.87,0.6,0.8
29,"Female","GB",1,3,4,3,4,2,4,4,3,4,3,4,4,4,5,0.53,0.6,0.73,0.73,0.87
22,"Female","US",3,3,2,5,5,3,3,3,3,5,4,4,5,4,4,0.53,0.87,0.6,0.87,0.87
17,"Male","US",4,2,3,2,4,2,3,1,5,1,4,1,5,5,5,0.6,0.53,0.6,0.4,1
14,"Female","US",3,5,5,2,4,2,5,5,4,4,4,5,4,5,5,0.87,0.53,0.93,0.87,0.93
19,"Male","US",4,4,4,1,1,1,4,3,4,3,3,2,4,5,5,0.8,0.2,0.73,0.53,0.93
22,"Male","US",2,3,3,4,4,4,3,4,4,3,4,4,5,4,4,0.53,0.8,0.73,0.73,0.87
29,"Female","PT",1,1,4,5,5,5,4,5,2,1,4,2,3,3,3,0.4,1,0.73,0.47,0.6
16,"Male","US",2,4,3,2,2,3,3,3,3,3,4,3,4,4,5,0.6,0.47,0.6,0.67,0.87
26,"Female","GB",3,4,5,2,4,3,5,5,4,1,3,1,4,4,3,0.8,0.6,0.93,0.33,0.73
23,"Male","GB",3,4,4,5,5,5,4,5,5,4,5,1,5,5,5,0.73,1,0.93,0.67,1
32,"Female","US",3,4,4,5,5,3,5,5,4,4,4,4,5,3,4,0.73,0.87,0.93,0.8,0.8
30,"Female","US",1,4,2,4,4,4,3,4,4,5,4,5,5,5,5,0.47,0.8,0.73,0.93,1
33,"Female","US",1,5,5,2,2,1,5,5,5,4,5,5,2,5,5,0.73,0.33,1,0.93,0.8
18,"Male","CA",1,3,2,1,1,1,2,1,4,4,5,1,5,5,5,0.4,0.2,0.47,0.67,1
17,"Female","US",4,5,5,5,5,1,5,5,5,4,5,5,5,5,5,0.93,0.73,1,0.93,1
15,"Female","US",4,5,5,5,5,4,5,4,5,3,4,4,5,3,5,0.93,0.93,0.93,0.73,0.87
55,"Female","US",3,4,4,3,4,3,2,4,4,2,5,2,4,4,4,0.73,0.67,0.67,0.6,0.8
28,"Female","US",2,3,3,5,5,4,4,5,2,1,4,3,5,3,2,0.53,0.93,0.73,0.53,0.67
57,"Female","US",3,4,4,3,3,2,5,5,5,4,4,3,5,3,5,0.73,0.53,1,0.73,0.87
28,"Male","AU",3,4,2,4,4,4,4,4,4,3,4,4,4,4,5,0.6,0.8,0.8,0.73,0.87
21,"Male","US",3,4,4,3,4,5,4,5,5,2,5,5,5,4,5,0.73,0.8,0.93,0.8,0.93
21,"Female","US",2,3,2,5,5,5,3,2,3,4,5,4,4,5,4,0.47,1,0.53,0.87,0.87
21,"Male","US",4,5,3,5,4,5,5,5,5,2,5,5,5,3,4,0.8,0.93,1,0.8,0.8
46,"Female","US",1,5,5,3,4,4,5,5,5,4,5,4,4,5,5,0.73,0.73,1,0.87,0.93
25,"Female","US",1,2,1,4,5,2,2,2,4,5,5,5,4,5,3,0.27,0.73,0.53,1,0.8
51,"Male","GB",4,4,4,1,2,2,5,4,4,4,3,3,4,4,4,0.8,0.33,0.87,0.67,0.8
19,"Male","US",2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,0.47,0.4,0.53,0.4,0.53
20,"Female","US",1,2,1,5,5,5,2,1,3,1,5,1,5,5,4,0.27,1,0.4,0.47,0.93
17,"Female","CA",4,2,4,5,5,5,4,2,4,4,4,5,5,1,5,0.67,1,0.67,0.87,0.73
18,"Female","US",3,2,2,5,5,5,3,4,3,2,4,3,5,4,5,0.47,1,0.67,0.6,0.93
24,"Male","US",5,5,5,2,4,2,5,5,5,2,4,5,4,4,5,1,0.53,1,0.73,0.87
47,"Male","NZ",4,4,5,2,4,2,4,4,4,4,4,3,5,4,4,0.87,0.53,0.8,0.73,0.87
22,"Female","US",3,4,3,5,5,5,3,3,4,3,3,5,3,3,3,0.67,1,0.67,0.73,0.6
27,"Male","PT",3,4,2,2,5,3,4,4,5,4,5,3,5,4,4,0.6,0.67,0.87,0.8,0.87
17,"Female","AU",3,4,4,3,4,3,4,3,3,4,5,4,4,4,4,0.73,0.67,0.67,0.87,0.8
23,"Male","US",1,4,2,4,4,2,5,4,3,2,5,2,3,3,2,0.47,0.67,0.8,0.6,0.53
17,"Male","PH",3,4,3,2,3,4,4,4,3,5,4,4,4,4,5,0.67,0.6,0.73,0.87,0.87
23,"Female","CA",2,5,4,1,2,1,5,5,5,4,4,3,5,5,5,0.73,0.27,1,0.73,1
24,"Female","US",3,4,3,3,5,3,3,3,3,4,5,4,4,4,3,0.67,0.73,0.6,0.87,0.73
21,"Female","US",4,5,5,3,5,2,2,3,4,4,4,4,4,4,4,0.93,0.67,0.6,0.8,0.8
28,"Male","RU",1,2,3,5,5,4,3,4,3,4,4,2,5,5,5,0.4,0.93,0.67,0.67,1
22,"Female","AU",1,2,1,5,4,5,3,4,3,2,3,1,5,5,4,0.27,0.93,0.67,0.4,0.93
22,"Female","US",4,5,4,4,4,3,3,4,3,1,4,4,4,4,5,0.87,0.73,0.67,0.6,0.87
30,"Female","US",4,5,5,5,4,2,5,5,4,3,5,3,5,5,4,0.93,0.73,0.93,0.73,0.93
24,"Male","US",1,5,3,1,5,3,2,4,5,5,5,5,5,5,3,0.6,0.6,0.73,1,0.87
25,"Female","MY",2,3,4,2,4,3,4,4,4,4,4,4,4,4,4,0.6,0.6,0.8,0.8,0.8
30,"Male","US",3,4,4,2,3,2,5,5,3,4,5,4,5,4,5,0.73,0.47,0.87,0.87,0.93
22,"Female","US",2,4,3,3,5,1,5,4,1,5,1,5,5,5,5,0.6,0.6,0.67,0.73,1
25,"Female","US",2,3,2,2,2,2,3,4,3,3,3,4,5,5,4,0.47,0.4,0.67,0.67,0.93
46,"Female","US",2,2,3,3,5,3,3,4,4,4,5,3,5,4,3,0.47,0.73,0.73,0.8,0.8
18,"Female","PH",3,2,2,3,4,3,2,4,4,3,3,4,4,4,5,0.47,0.67,0.67,0.67,0.87
26,"Female","US",2,4,5,4,3,3,5,5,4,4,4,3,5,5,4,0.73,0.67,0.93,0.73,0.93
18,"Male","IN",2,3,3,5,4,4,4,4,3,3,3,2,4,3,3,0.53,0.87,0.73,0.53,0.67
16,"Female","US",2,5,5,5,5,1,4,5,5,4,4,4,5,5,5,0.8,0.73,0.93,0.8,1
19,"Female","US",3,2,4,5,5,5,5,5,4,4,4,5,3,4,5,0.6,1,0.93,0.87,0.8
30,"Male","US",3,5,3,4,4,4,5,4,2,3,4,2,5,5,5,0.73,0.8,0.73,0.6,1
25,"Male","US",2,5,5,1,2,1,5,3,3,5,5,5,5,5,5,0.8,0.27,0.73,1,1
53,"Female","US",3,4,4,2,4,3,3,4,3,4,3,3,2,2,2,0.73,0.6,0.67,0.67,0.4
28,"Female","US",1,1,1,5,5,5,5,5,2,4,5,4,5,1,5,0.2,1,0.8,0.87,0.73
16,"Female","AU",4,4,4,3,3,3,4,4,4,2,3,2,5,4,5,0.8,0.6,0.8,0.47,0.93
29,"Male","US",3,4,4,4,4,2,4,3,3,3,4,2,4,4,3,0.73,0.67,0.67,0.6,0.73
49,"Female","US",1,5,5,3,5,1,4,5,5,5,5,5,3,5,4,0.73,0.6,0.93,1,0.8
25,"Female","US",2,2,4,5,5,2,5,5,4,4,3,5,5,4,5,0.53,0.8,0.93,0.8,0.93
53,"Male","US",3,4,4,3,4,2,4,4,4,4,4,4,4,5,5,0.73,0.6,0.8,0.8,0.93
29,"Female","US",1,1,5,5,5,3,3,1,5,3,5,5,3,5,3,0.47,0.87,0.6,0.87,0.73
17,"Male","GB",4,1,2,5,5,5,4,2,2,2,5,2,5,5,5,0.47,1,0.53,0.6,1
22,"Male","US",3,5,4,4,4,1,4,4,4,4,5,5,4,5,5,0.8,0.6,0.8,0.93,0.93
20,"Male","US",1,4,4,4,5,4,3,4,4,5,3,4,5,4,5,0.6,0.87,0.73,0.8,0.93
24,"Male","US",1,2,2,2,3,2,3,4,1,4,4,2,4,5,3,0.33,0.47,0.53,0.67,0.8
21,"Male","US",5,5,5,2,2,1,4,4,4,5,5,5,5,5,4,1,0.33,0.8,1,0.93
21,"Female","US",3,5,5,5,5,5,4,4,4,4,3,5,5,5,5,0.87,1,0.8,0.8,1
50,"Female","US",1,2,3,2,4,3,4,3,2,3,5,3,5,4,5,0.4,0.6,0.6,0.73,0.93
18,"Male","IN",1,2,2,2,4,3,2,4,5,3,4,1,3,4,4,0.33,0.6,0.73,0.53,0.73
19,"Female","US",2,4,3,4,4,3,5,5,5,4,5,3,5,5,5,0.6,0.73,1,0.8,1
19,"Male","US",5,4,5,5,5,5,5,3,4,3,5,5,5,4,4,0.93,1,0.8,0.87,0.87
21,"Female","US",4,4,4,4,4,3,5,5,4,4,4,4,5,4,4,0.8,0.73,0.93,0.8,0.87
15,"Female","CA",1,2,2,4,4,1,4,4,2,5,4,4,4,5,3,0.33,0.6,0.67,0.87,0.8
24,"Male","US",1,2,2,2,5,4,4,2,3,1,3,2,3,4,4,0.33,0.73,0.6,0.4,0.73
36,"Female","AE",2,3,3,4,4,4,3,3,5,2,3,3,3,3,2,0.53,0.8,0.73,0.53,0.53
24,"Male","AU",2,3,2,2,2,3,4,4,4,2,4,2,4,4,3,0.47,0.47,0.8,0.53,0.73
18,"Female","ID",3,3,3,2,3,3,5,5,2,2,5,3,4,4,4,0.6,0.53,0.8,0.67,0.8
27,"Male","US",4,4,3,3,4,2,4,4,5,5,4,5,4,5,5,0.73,0.6,0.87,0.93,0.93
21,"Female","US",1,3,3,3,5,3,4,3,3,4,5,5,5,5,5,0.47,0.73,0.67,0.93,1
24,"Male","IN",2,3,3,2,2,1,3,4,4,3,4,4,4,4,4,0.53,0.33,0.73,0.73,0.8
25,"Female","US",1,2,1,1,2,1,4,5,3,4,3,5,2,3,4,0.27,0.27,0.8,0.8,0.6
16,"Female","ZA",1,1,1,5,4,4,3,2,2,4,5,4,5,5,4,0.2,0.87,0.47,0.87,0.93
18,"Male","CL",1,1,1,3,3,4,2,2,1,1,2,1,2,4,2,0.2,0.67,0.33,0.27,0.53
16,"Male","IN",4,5,5,1,2,4,5,5,5,4,4,5,5,5,5,0.93,0.47,1,0.87,1
22,"Female","IN",3,4,4,3,4,3,4,3,3,4,3,3,4,4,3,0.73,0.67,0.67,0.67,0.73
20,"Female","US",3,3,3,5,4,5,3,3,5,3,2,3,3,3,3,0.6,0.93,0.73,0.53,0.6
24,"Female","US",3,2,3,5,5,5,3,5,4,1,5,1,5,5,5,0.53,1,0.8,0.47,1
16,"Female","ID",1,2,1,3,5,3,3,3,3,5,5,5,5,5,5,0.27,0.73,0.6,1,1
41,"Female","NL",5,5,5,3,3,3,5,5,5,4,5,3,5,5,4,1,0.6,1,0.8,0.93
62,"Male","GB",4,4,4,3,5,2,5,5,5,5,5,5,5,5,5,0.8,0.67,1,1,1
28,"Female","DK",2,2,2,4,4,2,3,3,4,4,4,2,5,5,4,0.4,0.67,0.67,0.67,0.93
21,"Female","US",2,1,1,5,4,5,2,4,2,3,4,2,2,4,3,0.27,0.93,0.53,0.6,0.6
28,"Female","AU",3,3,4,2,3,2,3,4,4,2,2,2,4,4,4,0.67,0.47,0.73,0.4,0.8
45,"Male","IE",2,5,5,1,1,1,5,5,5,4,5,4,5,5,5,0.8,0.2,1,0.87,1
23,"Female","IN",1,2,1,3,5,5,4,5,3,4,2,5,3,5,3,0.27,0.87,0.8,0.73,0.73
34,"Male","US",5,5,5,1,2,1,5,4,5,4,4,2,5,4,5,1,0.27,0.93,0.67,0.93
34,"Male","US",1,2,3,4,5,4,5,5,5,2,5,3,4,3,4,0.4,0.87,1,0.67,0.73
17,"Male","NZ",1,1,1,3,3,4,4,3,2,3,4,3,5,4,4,0.2,0.67,0.6,0.67,0.87
23,"Male","CA",2,3,5,4,5,4,5,4,2,3,4,2,5,3,3,0.67,0.87,0.73,0.6,0.73
16,"Female","PH",3,2,4,4,4,4,4,4,4,2,3,3,2,4,3,0.6,0.8,0.8,0.53,0.6
31,"Male","GH",2,2,1,1,2,2,2,1,2,4,5,2,4,5,5,0.33,0.33,0.33,0.73,0.93
65,"Female","US",1,2,1,4,4,3,3,4,3,4,5,3,5,5,5,0.27,0.73,0.67,0.8,1
20,"Female","LT",3,5,4,5,5,5,5,4,4,3,5,5,5,5,5,0.8,1,0.87,0.87,1
37,"Female","PH",1,3,5,3,4,5,5,4,5,5,5,5,5,5,5,0.6,0.8,0.93,1,1
23,"Male","GB",2,2,3,3,4,5,2,4,3,5,3,4,5,3,5,0.47,0.8,0.6,0.8,0.87
22,"Female","IN",3,4,2,2,4,4,2,5,3,4,4,4,3,5,4,0.6,0.67,0.67,0.8,0.8
27,"Female","ZA",3,5,3,2,2,2,5,5,4,2,4,3,3,5,4,0.73,0.4,0.93,0.6,0.8
35,"Male","US",3,4,1,5,5,4,4,4,3,1,2,2,4,4,4,0.53,0.93,0.73,0.33,0.8
28,"Female","IE",1,1,2,2,5,2,2,5,4,4,5,2,5,5,5,0.27,0.6,0.73,0.73,1
30,"Male","ES",2,5,4,1,1,1,4,3,5,5,5,4,4,5,5,0.73,0.2,0.8,0.93,0.93
22,"Female","GB",3,4,4,5,5,5,4,5,4,2,4,2,2,4,3,0.73,1,0.87,0.53,0.6
29,"Female","TR",1,5,4,3,4,2,3,4,4,5,5,5,3,5,5,0.67,0.6,0.73,1,0.87
25,"Female","PH",5,3,5,1,5,5,5,3,3,5,5,1,5,5,5,0.87,0.73,0.73,0.73,1
31,"Male","TR",2,2,2,2,4,4,4,5,4,4,5,1,5,5,5,0.4,0.67,0.87,0.67,1
14,"Female","ID",3,5,5,2,3,3,5,5,5,3,5,3,5,5,5,0.87,0.53,1,0.73,1
18,"Female","PH",1,1,1,5,5,5,5,5,1,1,3,5,4,1,1,0.2,1,0.73,0.6,0.4
27,"Male","GB",2,3,2,3,4,2,4,3,4,4,3,3,4,4,3,0.47,0.6,0.73,0.67,0.73
54,"Female","SE",3,4,4,3,2,3,2,4,4,3,4,2,5,4,5,0.73,0.53,0.67,0.6,0.93
24,"Female","IN",1,3,2,3,5,3,3,5,3,4,5,4,5,4,5,0.4,0.73,0.73,0.87,0.93
38,"Female","US",3,4,4,5,5,5,5,5,3,3,4,3,5,4,4,0.73,1,0.87,0.67,0.87
37,"Female","SD",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,0.73,1,1,1,1
28,"Female","NG",1,4,2,3,4,4,4,5,4,5,5,4,5,4,4,0.47,0.73,0.87,0.93,0.87
1994,"Male","MY",3,4,3,2,3,3,4,4,4,3,4,3,4,4,4,0.67,0.53,0.8,0.67,0.8
56,"Female","US",1,3,3,4,5,3,3,4,3,4,5,2,3,5,4,0.47,0.8,0.67,0.73,0.8
30,"Male","GB",3,3,3,5,5,3,3,4,3,3,4,3,4,3,4,0.6,0.87,0.67,0.67,0.73
54,"Male","GB",4,5,5,4,1,1,5,4,5,5,4,2,5,4,5,0.93,0.4,0.93,0.73,0.93
22,"Female","SE",1,2,2,3,5,3,4,4,2,4,4,2,4,5,5,0.33,0.73,0.67,0.67,0.93
16,"Female","TW",1,1,4,4,5,5,2,5,2,3,4,4,3,4,2,0.4,0.93,0.6,0.73,0.6
20,"Male","TW",2,5,4,2,3,1,5,5,5,3,5,5,5,5,5,0.73,0.4,1,0.87,1
16,"Male","PH",3,3,5,5,5,5,4,4,4,3,5,5,4,4,4,0.73,1,0.8,0.87,0.8
30,"Male","ZA",4,5,5,1,3,1,5,5,5,5,5,5,5,5,5,0.93,0.33,1,1,1
21,"Male","PK",2,3,4,4,2,3,3,4,4,3,4,4,3,4,3,0.6,0.6,0.73,0.73,0.67
30,"Male","BR",3,5,5,1,1,1,5,4,3,4,5,4,1,5,4,0.87,0.2,0.8,0.87,0.67
21,"Male","GB",5,5,5,4,4,1,5,5,5,1,1,1,5,3,5,1,0.6,1,0.2,0.87
28,"Female","US",2,4,4,2,2,1,4,5,5,3,3,1,5,4,4,0.67,0.33,0.93,0.47,0.87
19,"Female","US",3,4,5,5,5,4,4,4,3,4,5,5,5,3,4,0.8,0.93,0.73,0.93,0.8
54,"Female","US",4,4,4,4,2,3,5,5,5,3,4,3,5,4,3,0.8,0.6,1,0.67,0.8
34,"Female","GB",4,5,5,3,2,5,5,5,5,3,3,3,5,4,4,0.93,0.67,1,0.6,0.87
40,"Male","US",2,3,3,2,4,3,4,4,3,4,4,3,4,4,4,0.53,0.6,0.73,0.73,0.8
30,"Female","US",1,1,2,5,5,5,1,5,3,1,4,5,5,1,3,0.27,1,0.6,0.67,0.6
34,"Female","GB",4,5,5,5,5,5,5,5,4,3,5,5,5,4,4,0.93,1,0.93,0.87,0.87
20,"Female","US",3,4,2,4,4,4,5,5,5,4,5,3,2,5,3,0.6,0.8,1,0.8,0.67
37,"Female","CA",4,5,5,3,4,2,5,5,4,2,3,3,5,5,5,0.93,0.6,0.93,0.53,1
25,"Female","NO",3,5,5,4,3,2,5,5,5,4,5,4,3,4,3,0.87,0.6,1,0.87,0.67
20,"Female","NO",3,4,5,5,5,4,5,5,3,4,3,3,4,5,2,0.8,0.93,0.87,0.67,0.73
18,"Male","US",3,4,2,5,2,1,4,4,4,4,4,2,5,4,3,0.6,0.53,0.8,0.67,0.8
53,"Male","RO",3,4,3,1,3,2,4,4,3,5,4,5,3,4,3,0.67,0.4,0.73,0.93,0.67
